"uid","city_name","offense_code","offense_type","offense_group","offense_against","date_single","longitude","latitude","location_type","location_category","census_block","date_start","date_end"
5180641,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property","2018-06-24 15:00",-87.717547,41.854342,"residence","residence","170312922002016",,
5180681,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-24 16:00",-87.639324,41.903776,"street","street","170318383001002",,
5180849,"Chicago","13A","aggravated assault","assault offenses","persons","2018-06-24 19:50",-87.614436,41.828762,"residence","residence","170313511001003",,
5180875,"Chicago","13A","aggravated assault","assault offenses","persons","2018-06-24 20:05",-87.653544,41.789716,"other open space","open space","170316805001013",,
5181043,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-25 00:01",-87.591639,41.739716,"street","street","170318343005008",,
5181086,"Chicago","12A","personal robbery","robbery","property","2018-06-25 01:35",-87.613381,41.651836,"street","street","170315401011008",,
5181283,"Chicago","23C","shoplifting","larceny/theft offenses","property","2018-06-25 10:30",-87.662992,41.73319,"other retail","retail","170317113002000",,
5181303,"Chicago","90J","trespass of real property","trespass of real property","society","2018-06-25 11:00",-87.585864,41.763782,"other retail","retail","170314305003007",,
5181415,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property","2018-06-25 13:30",-87.737787,41.876568,"residence","residence","170312605001015",,
5181500,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society","2018-06-25 15:10",-87.733631,41.876077,"street","street","170312606002007",,
5181621,"Chicago","13A","aggravated assault","assault offenses","persons","2018-06-25 17:46",-87.615697,41.78321,"street","street","170314206001013",,
5181633,"Chicago","13B","simple assault","assault offenses","persons","2018-06-25 18:00",-87.693064,41.976774,"street","street","170310402022016",,
5182058,"Chicago","26C","impersonation","fraud offenses (except counterfeiting/forgery and bad checks)","property","2018-06-26 09:00",-87.661454,41.941882,"other","other","170310623001010",,
5182101,"Chicago","13B","simple assault","assault offenses","persons","2018-06-26 10:00",-87.667154,41.89146,"residence","residence","170312433002021",,
5182520,"Chicago","12A","personal robbery","robbery","property","2018-06-26 19:20",-87.73356,41.89822,"street","street","170318421003003",,
5182635,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-26 22:21",-87.730174,41.909089,"street","street","170312306003004",,
